Title,Company,Experience,Location,Description,Posted,Skills,Link
Gen AI Engineer,Rarr Technologies,5-10 Yrs,Bengaluru,2 years experience in GenAI and LLM with overall 5-7 years of experience building ad...,3 Days Ago,"Computer science, Cloud computing, advanced analytics, Postgresql, Analytical, MySQL, Machine learning, Conceptualization",https://www.naukri.com/job-listings-gen-ai-engineer-rarr-technologies-bengaluru-5-to-10-years-250425501079
Looking For Senior Data Scientist || GEN AI | LLM | NLP,Birdeye,5-9 Yrs,"Hybrid - Bengaluru, Hyderabad, Gurugram","Integrate models into real-time and batch data systems, optimizing for latency, through...",3 Days Ago,"Generative AI, Nltk, Enterprise AI, Bert, Spacy, Artificial Intelligence, Natural Language Processing, AI Solution",https://www.naukri.com/job-listings-looking-for-senior-data-scientist-gen-ai-llm-nlp-birdeye-hyderabad-gurugram-bengaluru-5-to-9-years-250125010997
GEN AI,Fortune India 500 IT Services Company,4-9 Yrs,Hybrid - Bengaluru,Generative AI minimum 1 Yrs( Realtime / Project exp),3 Days Ago,"Generative AI, SAGEMAKER, Machine Learning, AWS, Computer Vision, Ml, AWS Sagemaker, Artificial Intelligence",https://www.naukri.com/job-listings-gen-ai-mount-talent-consulting-bengaluru-4-to-9-years-240425925111
GEN AI Developer,Capgemini,4-6 Yrs,Bengaluru,Skills: ------------------. GitHub Copilot certificationDelivered AI-driven impact in 2...,4 Days Ago,"python, natural language processing, aiml, artificial intelligence, ml, continuous integration, rest, algorithms",https://www.naukri.com/job-listings-gen-ai-developer-capgemini-technology-services-india-limited-bengaluru-4-to-6-years-240425914926
Gen AI developer,Covalensedigital,3-6 Yrs,Bengaluru,"Generate required data using data generation techniques, . Implement the data storages ...",4 Days Ago,"Gen AI, python, Deep Learning, Artificial Intelligence, Natural Language Processing, Machine Learning, Processing, Languages",https://www.naukri.com/job-listings-gen-ai-developer-covalensedigital-bengaluru-3-to-6-years-240425010936
Gen AI Specialist,Mount Talent Consulting Pvt.LTD,5-8 Yrs,Bengaluru,"Role & responsibilities Hands-on programming and capabilities in Python, Java, R, or S...",3 Days Ago,"AI, Gen AI, ML, Generative AI, Artificial Intelligence, Natural Language Processing, LLM, Machine Learning",https://www.naukri.com/job-listings-gen-ai-specialist-mount-talent-consulting-bengaluru-5-to-8-years-240425925105
Gen AI Consultant,HCLTech,5-10 Yrs,"Bengaluru, Noida, Chennai",Must be a Graduate from a Reputed College. Must be an Immediate Joiner. Preferred candi...,4 Days Ago,"python, Generative AI, PyTorch, TensorFlow, Cloud, GPT, Kubernetes, Consulting",https://www.naukri.com/job-listings-gen-ai-consultant-hcltech-noida-chennai-bengaluru-5-to-10-years-230425008167
GEN AI Consultant,Infosys,5-10 Yrs,Bengaluru,Job TitleGEN AI Consultant Responsibilities Roles and Responsibilities:Experience wit...,7 Days Ago,"deep learning, python, natural language processing, machine learning, database creation, kubernetes, vertex, training",https://www.naukri.com/job-listings-gen-ai-consultant-infosys-limited-bengaluru-5-to-10-years-210425909862
SaT-DnA-Data Science Gen AI Assistant Manager,EY,4-8 Yrs,Bengaluru,The assignments cover a wide range of countries and industry sectors. We are looking fo...,7 Days Ago,"Supply chain, Telecom, Automation, Business analytics, Consulting, SAT, Healthcare, Data mining",https://www.naukri.com/job-listings-sat-dna-data-science-gen-ai-assistant-manager-ernst-young-bengaluru-4-to-8-years-210425500876
Gen AI Experts,Axtria,5-10 Yrs,"Hybrid - Bengaluru, Noida, Hyderabad",Axtria: -Axtria is a global provider of award-winning cloud software and data analytic...,5 Days Ago,"Generative Ai, Model Building, Python, SQL, Modeling Tools, Gen, Artificial Intelligence, Modeling",https://www.naukri.com/job-listings-gen-ai-experts-axtria-noida-hyderabad-bengaluru-5-to-10-years-130225015052
